data;time;pressure1;pressure2;pressure3;pressure4;pressure5
01.01.2019;22:30:00;0.245;0.599;0.855;12.613;9.932
01.01.2019;23:00:00;0.304;0.62;0.86;11.373;11.298
01.01.2019;23:30:00;0.253;0.589;0.868;11.093;10.827
02.01.2019;00:00:00;0.275;0.583;0.865;10.991;9.826
02.01.2019;00:30:00;0.176;0.59;0.865;8.852;8.572
02.01.2019;01:00:00;0.14;0.582;0.871;7.955;7.313
02.01.2019;01:30:00;0.141;0.603;0.874;7.605;5.935
02.01.2019;02:00:00;0.18;0.605;0.886;6.018;5.782
02.01.2019;02:30:00;0.152;0.603;0.88;5.296;5.584
02.01.2019;03:00:00;0.173;0.609;0.884;4.761;5.233
02.01.2019;03:30:00;0.143;0.609;0.888;5.065;5.373
02.01.2019;04:00:00;0.143;0.608;0.883;4.605;5.054
02.01.2019;04:30:00;0.144;0.606;0.887;4.711;5.182
02.01.2019;05:00:00;0.152;0.606;0.888;4.564;5.488
02.01.2019;05:30:00;0.204;0.607;0.888;5.048;5.442
02.01.2019;06:00:00;0.209;0.61;0.881;5.281;5.496
02.01.2019;06:30:00;0.142;0.602;0.879;4.602;5.024
02.01.2019;07:00:00;0.168;0.603;0.883;4.525;5.295
02.01.2019;07:30:00;0.142;0.605;0.882;5.023;5.182
02.01.2019;08:00:00;0.185;0.603;0.874;5.298;4.825
02.01.2019;08:30:00;0.17;0.605;0.867;6.24;5.529
02.01.2019;09:00:00;0.24;0.493;0.869;7.43;5.48
02.01.2019;09:30:00;0.208;0.277;0.875;7.86;6.824
02.01.2019;10:00:00;0.27;0.221;0.832;8.746;7.183
02.01.2019;10:30:00;0.421;0.221;0.8;8.326;7.981
02.01.2019;11:00:00;0.264;0.225;0.817;9.498;7.26
02.01.2019;11:30:00;0.403;0.228;0.83;9.706;9.016
02.01.2019;12:00:00;0.32;0.227;0.837;9.434;8.533
02.01.2019;12:30:00;0.375;0.234;0.74;9.407;8.681
02.01.2019;13:00:00;0.658;0.224;0.725;9.822;8.619
02.01.2019;13:30:00;0.332;0.218;0.694;9.602;7.656
02.01.2019;14:00:00;0.428;0.205;0.7;9.542;8.221
02.01.2019;14:30:00;0.48;0.194;0.711;11.16;7.671
02.01.2019;15:00:00;0.492;0.186;0.704;10.174;7.859
02.01.2019;15:30:00;0.516;0.19;0.732;10.31;8.483
02.01.2019;16:00:00;0.327;0.189;0.733;11.434;9.917
02.01.2019;16:30:00;0.369;0.191;0.737;11.21;10.941
02.01.2019;17:00:00;0.191;0.464;0.731;12.531;12.316
02.01.2019;17:30:00;0.359;0.55;0.732;12.908;12.254
02.01.2019;18:00:00;0.31;0.534;0.731;14.302;11.212
02.01.2019;18:30:00;0.349;0.551;0.729;13.037;12.294
02.01.2019;19:00:00;0.361;0.549;0.784;13.356;10.399
02.01.2019;19:30:00;0.306;0.542;0.789;14.838;11.519
02.01.2019;20:00:00;0.387;0.567;0.802;14.145;12.262
02.01.2019;20:30:00;0.444;0.552;0.857;13.69;12.071
02.01.2019;21:00:00;0.275;0.563;0.839;12.03;11.486
02.01.2019;21:30:00;0.332;0.55;0.842;12.282;11.749
02.01.2019;22:00:00;0.201;0.554;0.841;11.388;11.634
02.01.2019;22:30:00;0.282;0.562;0.84;11.62;12.013
02.01.2019;23:00:00;0.266;0.567;0.839;12.181;11.081
02.01.2019;23:30:00;0.176;0.561;0.859;10.715;10.706
03.01.2019;00:00:00;0.219;0.56;0.849;10.227;9.091
03.01.2019;00:30:00;0.179;0.565;0.86;7.861;8.668
03.01.2019;01:00:00;0.141;0.563;0.862;6.728;6.037
03.01.2019;01:30:00;0.185;0.568;0.867;5.324;7.2
03.01.2019;02:00:00;0.209;0.567;0.872;4.652;5.666
03.01.2019;02:30:00;0.142;0.569;0.878;4.476;5.278
03.01.2019;03:00:00;0.143;0.576;0.873;4.486;4.575
03.01.2019;03:30:00;0.178;0.574;0.871;3.933;4.311
03.01.2019;04:00:00;0.18;0.575;0.874;4.688;4.86
03.01.2019;04:30:00;0.142;0.571;0.873;5.008;4.859
03.01.2019;05:00:00;0.142;0.572;0.874;5.047;4.056
03.01.2019;05:30:00;0.179;0.578;0.876;4.353;4.4
03.01.2019;06:00:00;0.154;0.574;0.812;4.514;4.157
03.01.2019;06:30:00;0.188;0.571;0.775;4.595;4.484
03.01.2019;07:00:00;0.181;0.572;0.773;5.504;4.401
03.01.2019;07:30:00;0.141;0.574;0.777;5.285;5.517
03.01.2019;08:00:00;0.257;0.57;0.769;5.076;5.97
03.01.2019;08:30:00;0.274;0.563;0.766;6.431;6.054
03.01.2019;09:00:00;0.239;0.561;0.765;7.172;6.616
03.01.2019;09:30:00;0.195;0.564;0.768;8.28;7.869
03.01.2019;10:00:00;0.413;0.558;0.757;8.645;8.847
03.01.2019;10:30:00;0.373;0.494;0.768;10.177;9.384
03.01.2019;11:00:00;0.428;0.372;0.779;10.827;9.639
03.01.2019;11:30:00;0.669;0.2;0.775;11.241;11.009
03.01.2019;12:00:00;0.394;0.188;0.767;11.95;10.381
03.01.2019;12:30:00;0.492;0.194;0.75;10.658;8.933
03.01.2019;13:00:00;0.494;0.193;0.728;10.372;9.383
03.01.2019;13:30:00;0.276;0.187;0.728;11.192;10.418
03.01.2019;14:00:00;0.509;0.194;0.678;11.712;9.879
03.01.2019;14:30:00;0.538;0.193;0.687;12.158;10.034
03.01.2019;15:00:00;0.585;0.187;0.676;11.302;10.423
03.01.2019;15:30:00;0.375;0.19;0.665;12.395;9.527
03.01.2019;16:00:00;0.549;0.321;0.739;12.799;10.749
03.01.2019;16:30:00;0.553;0.397;0.733;13.859;11.913
03.01.2019;17:00:00;0.504;0.417;0.724;14.632;11.208
03.01.2019;17:30:00;0.603;0.419;0.727;14.913;12.547
03.01.2019;18:00:00;0.3;0.419;0.724;16.087;12.537
03.01.2019;18:30:00;0.39;0.418;0.738;16.401;12.335
03.01.2019;19:00:00;0.504;0.498;0.77;16.868;12.516
03.01.2019;19:30:00;0.314;0.504;0.808;17.074;12.609
03.01.2019;20:00:00;0.36;0.514;0.804;17.612;13.61
03.01.2019;20:30:00;0.481;0.515;0.795;17.24;12.942
03.01.2019;21:00:00;0.182;0.537;0.8;14.53;11.95
03.01.2019;21:30:00;0.418;0.545;0.802;14.001;11.335
03.01.2019;22:00:00;0.352;0.518;0.811;14.671;12.032
03.01.2019;22:30:00;0.237;0.515;0.812;13.135;12.751
03.01.2019;23:00:00;0.26;0.513;0.819;12.39;11.639
03.01.2019;23:30:00;0.181;0.542;0.826;12.251;11.505
04.01.2019;00:00:00;0.151;0.531;0.828;11.226;9.76
04.01.2019;00:30:00;0.142;0.53;0.831;9.379;8.639
04.01.2019;01:00:00;0.195;0.538;0.836;7.85;7.937
04.01.2019;01:30:00;0.143;0.537;0.832;7.391;6.828
04.01.2019;02:00:00;0.143;0.541;0.842;6.129;6.308
04.01.2019;02:30:00;0.144;0.542;0.844;5.752;6.02
04.01.2019;03:00:00;0.143;0.539;0.836;5.083;5.948
04.01.2019;03:30:00;0.144;0.542;0.842;4.732;5.664
04.01.2019;04:00:00;0.186;0.541;0.845;4.963;6.104
04.01.2019;04:30:00;0.145;0.537;0.85;5.395;5.568
04.01.2019;05:00:00;0.143;0.541;0.846;5.043;5.544
04.01.2019;05:30:00;0.199;0.54;0.839;5.012;5.72
04.01.2019;06:00:00;0.261;0.536;0.845;5.675;5.954
04.01.2019;06:30:00;0.248;0.539;0.84;5.922;5.802
04.01.2019;07:00:00;0.184;0.541;0.839;5.67;6.219
04.01.2019;07:30:00;0.22;0.53;0.814;6.087;6.87
04.01.2019;08:00:00;0.256;0.537;0.817;6.711;6.395
04.01.2019;08:30:00;0.213;0.532;0.821;6.863;6.928
04.01.2019;09:00:00;0.355;0.525;0.755;8.089;6.994
04.01.2019;09:30:00;0.254;0.529;0.748;10.164;8.672
04.01.2019;10:00:00;0.21;0.404;0.739;10.125;7.827
04.01.2019;10:30:00;0.354;0.286;0.755;10.368;8.319
04.01.2019;11:00:00;0.243;0.194;0.759;10.059;9.195
04.01.2019;11:30:00;0.409;0.185;0.752;12.287;9.904
04.01.2019;12:00:00;0.459;0.2;0.734;10.481;7.961
04.01.2019;12:30:00;0.653;0.201;0.649;9.714;8.429
04.01.2019;13:00:00;0.387;0.197;0.636;8.592;9.27
04.01.2019;13:30:00;0.415;0.235;0.647;8.825;9.121
04.01.2019;14:00:00;0.502;0.237;0.641;8.628;7.279
04.01.2019;14:30:00;0.626;0.245;0.644;9.452;7.826
04.01.2019;15:00:00;0.39;0.208;0.657;8.892;8.239
04.01.2019;15:30:00;0.502;0.205;0.715;9.636;8.13
04.01.2019;16:00:00;0.355;0.336;0.707;12.095;8.305
04.01.2019;16:30:00;0.379;0.431;0.711;12.513;9.32
04.01.2019;17:00:00;0.522;0.499;0.71;13.448;10.244
04.01.2019;17:30:00;0.443;0.581;0.742;13.279;11.547
04.01.2019;18:00:00;0.49;0.528;0.731;14.947;11.492
04.01.2019;18:30:00;0.408;0.528;0.732;16.033;11.777
04.01.2019;19:00:00;0.312;0.536;0.731;15.324;12.505
04.01.2019;19:30:00;0.312;0.544;0.734;14.769;12.17
04.01.2019;20:00:00;0.402;0.536;0.736;14.905;12.25
04.01.2019;20:30:00;0.262;0.53;0.733;14.89;11.638
04.01.2019;21:00:00;0.264;0.54;0.738;13.088;12.444
04.01.2019;21:30:00;0.266;0.53;0.744;13.558;12.741
04.01.2019;22:00:00;0.272;0.528;0.804;12.237;13.819
04.01.2019;22:30:00;0.293;0.571;0.831;12.928;11.501
04.01.2019;23:00:00;0.27;0.594;0.827;12.012;11.682
04.01.2019;23:30:00;0.141;0.61;0.847;10.63;11.48
05.01.2019;00:00:00;0.178;0.59;0.84;10.798;9.868
05.01.2019;00:30:00;0.143;0.556;0.836;9.616;8.157
05.01.2019;01:00:00;0.144;0.554;0.855;8.614;8.006
05.01.2019;01:30:00;0.176;0.555;0.842;7.049;5.696
05.01.2019;02:00:00;0.143;0.557;0.839;7.325;5.022
05.01.2019;02:30:00;0.204;0.566;0.843;6.268;4.639
05.01.2019;03:00:00;0.164;0.563;0.836;5.845;3.848
05.01.2019;03:30:00;0.14;0.56;0.834;5.112;4.287
05.01.2019;04:00:00;0.14;0.556;0.832;6.262;4.079
05.01.2019;04:30:00;0.14;0.545;0.829;4.963;4.389
05.01.2019;05:00:00;0.139;0.546;0.826;4.553;3.864
05.01.2019;05:30:00;0.184;0.544;0.826;4.591;4.019
05.01.2019;06:00:00;0.151;0.546;0.823;4.866;4.424
05.01.2019;06:30:00;0.22;0.542;0.823;5.04;4.659
05.01.2019;07:00:00;0.247;0.539;0.827;5.332;6.504
05.01.2019;07:30:00;0.317;0.536;0.827;5.666;5.759
05.01.2019;08:00:00;0.262;0.543;0.752;6.097;5.777
05.01.2019;08:30:00;0.161;0.559;0.734;6.563;6.737
05.01.2019;09:00:00;0.427;0.534;0.726;7.226;7.776
05.01.2019;09:30:00;0.286;0.525;0.733;8.433;7.016
05.01.2019;10:00:00;0.263;0.515;0.728;10.07;8.427
05.01.2019;10:30:00;0.437;0.435;0.735;10.511;8.871
05.01.2019;11:00:00;0.475;0.254;0.722;10.262;8.765
05.01.2019;11:30:00;0.392;0.237;0.722;10.256;8.303
05.01.2019;12:00:00;0.44;0.196;0.706;10.13;7.228
05.01.2019;12:30:00;0.443;0.195;0.704;11.617;7.737
05.01.2019;13:00:00;0.51;0.195;0.734;10.089;7.614
05.01.2019;13:30:00;0.413;0.193;0.73;11.614;8.002
05.01.2019;14:00:00;0.642;0.197;0.722;10.313;9.123
05.01.2019;14:30:00;0.4;0.193;0.714;10.078;10.832
05.01.2019;15:00:00;0.433;0.191;0.719;9.796;8.908
05.01.2019;15:30:00;0.357;0.198;0.742;11.106;8.819
05.01.2019;16:00:00;0.474;0.362;0.724;11.254;10.373
05.01.2019;16:30:00;0.465;0.414;0.726;11.781;12.096
05.01.2019;17:00:00;0.653;0.486;0.716;14.103;13.879
05.01.2019;17:30:00;0.311;0.475;0.694;12.463;12.611
05.01.2019;18:00:00;0.395;0.52;0.695;13.225;11.825
05.01.2019;18:30:00;0.529;0.52;0.755;13.819;12.89
05.01.2019;19:00:00;0.458;0.516;0.771;15.051;13.701
05.01.2019;19:30:00;0.405;0.515;0.78;15.312;12.803
05.01.2019;20:00:00;0.466;0.525;0.766;14.458;14.469
05.01.2019;20:30:00;0.332;0.526;0.761;14.38;13.81
05.01.2019;21:00:00;0.399;0.529;0.759;14.462;12.12
05.01.2019;21:30:00;0.298;0.525;0.764;13.906;13.264
05.01.2019;22:00:00;0.414;0.532;0.759;12.438;13.08
05.01.2019;22:30:00;0.392;0.552;0.755;11.818;12.624
05.01.2019;23:00:00;0.17;0.552;0.753;11.328;12.626
05.01.2019;23:30:00;0.231;0.538;0.767;10.573;11.04
06.01.2019;00:00:00;0.169;0.54;0.765;10.091;9.1
06.01.2019;00:30:00;0.171;0.546;0.775;8.538;8.669
06.01.2019;01:00:00;0.143;0.545;0.78;7.656;6.696
06.01.2019;01:30:00;0.297;0.551;0.782;6.419;6.775
06.01.2019;02:00:00;0.143;0.558;0.79;5.982;5.544
06.01.2019;02:30:00;0.144;0.554;0.804;5.661;5.317
06.01.2019;03:00:00;0.143;0.558;0.801;5.236;4.676
06.01.2019;03:30:00;0.142;0.543;0.776;5.032;4.346
06.01.2019;04:00:00;0.142;0.534;0.778;4.447;4.586
06.01.2019;04:30:00;0.143;0.541;0.795;4.81;4.929
06.01.2019;05:00:00;0.156;0.539;0.788;4.3;4.602
06.01.2019;05:30:00;0.171;0.543;0.795;4.624;4.679
06.01.2019;06:00:00;0.141;0.533;0.786;5.472;4.719
06.01.2019;06:30:00;0.19;0.535;0.791;5.423;4.923
06.01.2019;07:00:00;0.341;0.536;0.757;4.901;5.99
06.01.2019;07:30:00;0.259;0.525;0.752;7.244;5.769
06.01.2019;08:00:00;0.328;0.525;0.747;7.073;5.754
06.01.2019;08:30:00;0.188;0.436;0.745;5.919;5.574
06.01.2019;09:00:00;0.335;0.439;0.737;7.563;7.348
06.01.2019;09:30:00;0.286;0.43;0.745;8.268;6.437
06.01.2019;10:00:00;0.378;0.385;0.69;8.312;7.113
06.01.2019;10:30:00;0.545;0.196;0.665;8.289;7.963
06.01.2019;11:00:00;0.43;0.189;0.601;9.131;6.341
06.01.2019;11:30:00;0.474;0.187;0.601;9.403;6.371
06.01.2019;12:00:00;0.557;0.192;0.625;9.175;7.357
06.01.2019;12:30:00;0.462;0.191;0.598;8.269;7.062
06.01.2019;13:00:00;0.347;0.194;0.623;8.716;7.363
06.01.2019;13:30:00;0.546;0.188;0.636;8.889;6.3
06.01.2019;14:00:00;0.398;0.19;0.635;8.781;6.656
06.01.2019;14:30:00;0.441;0.192;0.646;10.121;7.974
06.01.2019;15:00:00;0.609;0.19;0.715;9.182;7.774
06.01.2019;15:30:00;0.554;0.282;0.707;8.834;9.251
06.01.2019;16:00:00;0.49;0.382;0.696;10.046;10.443
06.01.2019;16:30:00;0.651;0.381;0.701;11.25;10.471
06.01.2019;17:00:00;0.387;0.384;0.705;12.011;12.031
06.01.2019;17:30:00;0.647;0.395;0.696;11.384;13.027
06.01.2019;18:00:00;0.368;0.534;0.703;11.691;14.557
06.01.2019;18:30:00;0.449;0.523;0.709;12.468;15.337
06.01.2019;19:00:00;0.366;0.535;0.709;13.642;13.543
06.01.2019;19:30:00;0.529;0.586;0.706;13.341;12.863
06.01.2019;20:00:00;0.564;0.555;0.702;12.988;13.314
06.01.2019;20:30:00;0.209;0.546;0.696;12.875;13.83
06.01.2019;21:00:00;0.587;0.539;0.702;12.846;12.842
06.01.2019;21:30:00;0.224;0.535;0.699;14.446;12.693
06.01.2019;22:00:00;0.367;0.528;0.697;13.325;13.684
06.01.2019;22:30:00;0.273;0.541;0.695;12.229;12.686
06.01.2019;23:00:00;0.212;0.543;0.697;12.045;12.22
06.01.2019;23:30:00;0.264;0.532;0.695;9.483;10.217
07.01.2019;00:00:00;0.23;0.535;0.675;9.183;9.565
07.01.2019;00:30:00;0.295;0.543;0.681;8.588;9.699
07.01.2019;01:00:00;0.188;0.541;0.681;6.914;8.728
07.01.2019;01:30:00;0.251;0.546;0.69;6.906;7.935
07.01.2019;02:00:00;0.141;0.553;0.686;7.277;7.143
07.01.2019;02:30:00;0.139;0.549;0.681;7.523;5.856
07.01.2019;03:00:00;0.211;0.537;0.673;7.432;5.217
07.01.2019;03:30:00;0.14;0.538;0.674;6.796;5.23
07.01.2019;04:00:00;0.156;0.535;0.674;7.258;4.873
07.01.2019;04:30:00;0.165;0.539;0.676;6.786;4.835
07.01.2019;05:00:00;0.172;0.542;0.678;6.47;4.808
07.01.2019;05:30:00;0.272;0.537;0.673;6.09;5.225
07.01.2019;06:00:00;0.21;0.537;0.67;6.194;5.605
07.01.2019;06:30:00;0.312;0.538;0.675;5.879;5.562
07.01.2019;07:00:00;0.232;0.534;0.672;5.868;5.409
07.01.2019;07:30:00;0.277;0.529;0.653;6.615;5.433
07.01.2019;08:00:00;0.382;0.533;0.635;6.691;5.504
07.01.2019;08:30:00;0.238;0.534;0.636;7.322;5.971
07.01.2019;09:00:00;0.221;0.531;0.636;8.396;6.891
07.01.2019;09:30:00;0.24;0.494;0.624;9.404;6.62
07.01.2019;10:00:00;0.361;0.436;0.624;8.942;7.278
07.01.2019;10:30:00;0.325;0.226;0.634;9.72;7.098
07.01.2019;11:00:00;0.33;0.19;0.578;9.646;7.672
07.01.2019;11:30:00;0.394;0.194;0.561;9.97;8.261
07.01.2019;12:00:00;0.32;0.191;0.568;10.026;8.635
07.01.2019;12:30:00;0.343;0.184;0.604;10.621;9.313
07.01.2019;13:00:00;0.438;0.19;0.616;10.774;10.256
07.01.2019;13:30:00;0.328;0.18;0.603;10.897;8.431
07.01.2019;14:00:00;0.477;0.185;0.627;10.22;10.057
07.01.2019;14:30:00;0.486;0.182;0.608;11.269;10.726
07.01.2019;15:00:00;0.428;0.184;0.603;11.397;10.437
07.01.2019;15:30:00;0.607;0.185;0.61;11.369;9.299
07.01.2019;16:00:00;0.39;0.18;0.61;11.216;9.389
07.01.2019;16:30:00;0.461;0.182;0.611;11.709;10.576
07.01.2019;17:00:00;0.371;0.269;0.606;12.81;12.71
07.01.2019;17:30:00;0.308;0.38;0.659;12.962;14.354
07.01.2019;18:00:00;0.317;0.472;0.641;14.35;15.223
07.01.2019;18:30:00;0.476;0.507;0.631;14.654;15.49
07.01.2019;19:00:00;0.535;0.507;0.63;14.314;16.063
07.01.2019;19:30:00;0.405;0.501;0.631;15.571;14.333
07.01.2019;20:00:00;0.384;0.508;0.625;15.542;13.752
07.01.2019;20:30:00;0.388;0.511;0.63;14.839;14.177
07.01.2019;21:00:00;0.3;0.51;0.627;14.603;15.23
07.01.2019;21:30:00;0.281;0.507;0.631;14.481;15.247
07.01.2019;22:00:00;0.29;0.508;0.622;12.06;15.007
07.01.2019;22:30:00;0.238;0.518;0.623;12.372;15.627
07.01.2019;23:00:00;0.226;0.53;0.631;12.594;14.153
07.01.2019;23:30:00;0.247;0.526;0.637;11.748;11.976
08.01.2019;00:00:00;0.166;0.522;0.634;12.029;11.131
08.01.2019;00:30:00;0.24;0.519;0.648;11.118;9.992
08.01.2019;01:00:00;0.181;0.506;0.695;9.669;10.502
08.01.2019;01:30:00;0.171;0.516;0.699;8.017;8.918
08.01.2019;02:00:00;0.161;0.519;0.697;6.907;7.289
08.01.2019;02:30:00;0.182;0.519;0.697;5.9;7.024
08.01.2019;03:00:00;0.153;0.523;0.695;6.042;6.59
08.01.2019;03:30:00;0.137;0.523;0.695;5.682;6.683
08.01.2019;04:00:00;0.138;0.516;0.701;5.447;6.123
08.01.2019;04:30:00;0.193;0.517;0.697;5.745;6.243
08.01.2019;05:00:00;0.205;0.525;0.701;4.884;5.651
08.01.2019;05:30:00;0.138;0.529;0.706;4.326;5.794
08.01.2019;06:00:00;0.22;0.522;0.703;4.856;6.32
08.01.2019;06:30:00;0.203;0.523;0.695;5.309;6.973
08.01.2019;07:00:00;0.17;0.522;0.695;4.989;6.65
08.01.2019;07:30:00;0.201;0.521;0.694;4.746;6.519
08.01.2019;08:00:00;0.228;0.513;0.685;6.938;6.214
08.01.2019;08:30:00;0.305;0.517;0.701;8.278;7.804
08.01.2019;09:00:00;0.335;0.497;0.699;8.741;7.934
08.01.2019;09:30:00;0.399;0.463;0.698;8.807;8.897
08.01.2019;10:00:00;0.354;0.463;0.703;8.788;9.954
08.01.2019;10:30:00;0.243;0.274;0.724;9.53;9.658
08.01.2019;11:00:00;0.342;0.178;0.725;10.2;11.819
08.01.2019;11:30:00;0.616;0.174;0.719;12.668;11.7
08.01.2019;12:00:00;0.522;0.173;0.721;10.939;12.777
08.01.2019;12:30:00;0.507;0.183;0.722;12.297;11.016
08.01.2019;13:00:00;0.623;0.182;0.715;11.432;11.256
08.01.2019;13:30:00;0.645;0.174;0.715;11.84;10.595
08.01.2019;14:00:00;0.676;0.184;0.716;11.516;10.043
08.01.2019;14:30:00;0.397;0.18;0.719;11.514;10.751
08.01.2019;15:00:00;0.35;0.18;0.721;11.812;10.469
08.01.2019;15:30:00;0.613;0.177;0.72;12.133;11.575
08.01.2019;16:00:00;0.359;0.18;0.717;12.264;11.96
08.01.2019;16:30:00;0.409;0.197;0.708;15.986;14.637
08.01.2019;17:00:00;0.43;0.401;0.712;16.642;14.477
08.01.2019;17:30:00;0.179;0.415;0.709;15.303;15.65
08.01.2019;18:00:00;0.387;0.408;0.706;17.193;16.13
08.01.2019;18:30:00;0.498;0.414;0.7;16.836;14.906
08.01.2019;19:00:00;0.351;0.425;0.7;15.882;15.383
08.01.2019;19:30:00;0.433;0.426;0.7;16.337;16.63
08.01.2019;20:00:00;0.359;0.422;0.691;17.13;17.284
08.01.2019;20:30:00;0.564;0.456;0.69;18.56;18.003
08.01.2019;21:00:00;0.53;0.502;0.755;18.365;16.745
08.01.2019;21:30:00;0.223;0.512;0.763;16.642;14.972
08.01.2019;22:00:00;0.295;0.507;0.747;16.408;14.268
08.01.2019;22:30:00;0.324;0.509;0.742;15.942;13.624
08.01.2019;23:00:00;0.206;0.508;0.744;15.606;14.741
08.01.2019;23:30:00;0.16;0.507;0.756;14.563;13.11
09.01.2019;00:00:00;0.135;0.517;0.753;13.692;12.231
09.01.2019;00:30:00;0.155;0.519;0.753;14.468;12.558
09.01.2019;01:00:00;0.211;0.522;0.755;13.043;11.223
09.01.2019;01:30:00;0.136;0.526;0.759;11.791;9.495
09.01.2019;02:00:00;0.213;0.527;0.765;11.351;9.497
09.01.2019;02:30:00;0.139;0.529;0.767;10.363;7.449
09.01.2019;03:00:00;0.14;0.531;0.783;9.37;6.822
09.01.2019;03:30:00;0.14;0.528;0.777;8.855;6.394
09.01.2019;04:00:00;0.141;0.532;0.783;6.988;5.88
09.01.2019;04:30:00;0.164;0.529;0.777;7.241;5.499
09.01.2019;05:00:00;0.161;0.53;0.775;7.196;5.782
09.01.2019;05:30:00;0.175;0.529;0.778;7.136;5.885
09.01.2019;06:00:00;0.139;0.534;0.776;7.276;5.896
09.01.2019;06:30:00;0.199;0.528;0.773;7.956;6.101
09.01.2019;07:00:00;0.243;0.529;0.767;7.807;6.426
09.01.2019;07:30:00;0.186;0.535;0.778;6.734;5.713
09.01.2019;08:00:00;0.327;0.528;0.77;6.943;6.588
09.01.2019;08:30:00;0.32;0.527;0.695;7.369;7.086
09.01.2019;09:00:00;0.32;0.526;0.693;8.068;8.262
09.01.2019;09:30:00;0.289;0.51;0.687;8.68;10.947
09.01.2019;10:00:00;0.429;0.501;0.678;9.404;10.117
09.01.2019;10:30:00;0.345;0.329;0.695;10.77;9.278
09.01.2019;11:00:00;0.376;0.241;0.714;9.46;8.429
09.01.2019;11:30:00;0.359;0.226;0.722;11.067;11.34
09.01.2019;12:00:00;0.275;0.196;0.716;12.376;10.91
09.01.2019;12:30:00;0.523;0.203;0.718;10.662;13.075
09.01.2019;13:00:00;0.458;0.188;0.71;10.689;11.049
09.01.2019;13:30:00;0.531;0.193;0.714;12.29;12.151
09.01.2019;14:00:00;0.636;0.188;0.722;11.561;10.929
09.01.2019;14:30:00;0.441;0.177;0.729;11.058;10.887
09.01.2019;15:00:00;0.515;0.227;0.706;12.314;11.465
09.01.2019;15:30:00;0.397;0.366;0.716;13.282;10.998
09.01.2019;16:00:00;0.349;0.365;0.714;13.029;11.219
09.01.2019;16:30:00;0.499;0.363;0.708;14.522;11.815
09.01.2019;17:00:00;0.455;0.361;0.703;16.855;15.776
09.01.2019;17:30:00;0.267;0.361;0.706;17.776;17.469
09.01.2019;18:00:00;0.574;0.402;0.711;16.962;17.866
09.01.2019;18:30:00;0.415;0.408;0.706;17.739;17.63
09.01.2019;19:00:00;0.511;0.412;0.719;17.301;21.03
